TrdExctnDtEOM,InstitutionalVolume,RetailVolume,InstitutionalTrades,RetailTrades,InstitutionalCusips,RetailCusips
2009-07-31,145088002211.0,6324507466.0,41304,190063,1490,1428
2009-08-31,109816626546.0,5432455649.0,33087,157558,1203,1172
2009-09-30,138893534867.0,6002832703.0,39779,168379,1411,1372
2009-10-31,138174040762.0,5777275244.0,41204,166029,1516,1470
2009-11-30,87994899945.0,3630307012.0,25332,99346,952,934
2009-12-31,76136349604.0,3705612983.0,22879,99411,837,821
2010-01-31,136903089750.0,4906510316.0,38072,133304,1385,1360
2010-02-28,115457346045.0,5457433070.0,34818,153621,1312,1280
2010-03-31,152529174804.0,6389014356.0,45511,174451,1383,1351
2010-04-30,138260215605.0,5660441203.0,40815,153176,1600,1543
2010-05-31,109205128763.0,4195530718.0,33754,114830,1040,1022
2010-06-30,112290056982.0,5317166074.0,35957,146299,1330,1306
2010-07-31,113294760784.0,4879361015.0,34748,134159,1446,1409
2010-08-31,121853782245.0,5514617910.0,35013,152700,1245,1218
2010-09-30,136458370964.0,6067106810.0,43411,166205,1607,1561
2010-10-31,133052243589.0,5257811869.0,37864,140115,1429,1388
2010-11-30,107391350808.0,4573561142.0,33607,123618,1232,1204
2010-12-31,79976958972.0,4311484285.0,25830,116563,1000,989
2011-01-31,135875505972.0,4847135087.0,39176,131234,1416,1390
2011-02-28,139127455387.0,4941499652.0,39133,132242,1437,1387
2011-03-31,153304959262.0,6209152472.0,47230,165710,1602,1573
2011-04-30,117403348370.0,4823512284.0,35335,131151,1580,1539
2011-05-31,102331878054.0,4020094989.0,30435,106358,1159,1143
2011-06-30,135989852148.0,5370379425.0,40227,139859,1640,1604
2011-07-31,101488176793.0,3823964004.0,30729,101925,1344,1314
2011-08-31,134033224644.0,4943198834.0,40653,129655,1378,1339
2011-09-30,116159748892.0,4900428029.0,39182,129356,1686,1634
2011-10-31,121756030086.0,4916288301.0,40616,129300,1433,1404
2011-11-30,96573237103.0,4902966112.0,36451,127828,1482,1438
2011-12-31,61721538000.0,3493482814.0,21943,90615,889,874
2012-01-31,144215985507.0,5751451689.0,46421,151817,1517,1485
2012-02-29,143642185000.0,6047911575.0,44788,162792,1424,1388
2012-03-31,148481059328.0,7461496817.0,48041,204494,1627,1591
2012-04-30,111105735227.0,5570656385.0,39051,157203,1427,1398
2012-05-31,138622464875.0,5859238075.0,47685,161170,1482,1453
2012-06-30,129423389773.0,6295977825.0,45657,174962,1650,1618
2012-07-31,101428389920.0,5189321151.0,35918,147424,1366,1340
2012-08-31,115572504431.0,6490059205.0,40870,183162,1490,1467
2012-09-30,126390507592.0,5801337341.0,43349,154325,1519,1487
2012-10-31,100466061643.0,4294550345.0,33763,113283,946,935
2012-11-30,128055338967.0,6456513191.0,43818,172911,1836,1800
2012-12-31,68080421375.0,3913661500.0,23585,101721,845,836
2013-01-31,156850507003.0,7974285423.0,53287,211381,1761,1734
2013-02-28,130332440337.0,6902290871.0,43971,184534,1783,1741
2013-03-31,112467122850.0,5640860689.0,37496,147445,1255,1237
2013-04-30,127324910723.0,6529407364.0,43173,171979,1545,1514
2013-05-31,152801424666.0,6886573800.0,49705,185251,1770,1733
2013-06-30,135944196000.0,6271443478.0,48734,165216,1709,1680
2013-07-31,114726363250.0,5469507231.0,40845,148646,1612,1581
2013-08-31,85335377820.0,5068784142.0,32280,142121,1453,1441
2013-09-30,149255995497.0,5722743000.0,47600,157630,1648,1613
2013-10-31,147114341388.0,6301576000.0,48835,170858,1780,1749
2013-11-30,101985901400.0,4624400200.0,35020,131056,1289,1276
2013-12-31,63570366675.0,3337556898.0,22336,90154,771,768
2014-01-31,148497171410.0,6670044891.0,48123,186075,1882,1857
2014-02-28,144348288721.0,6399431351.0,46045,174916,1872,1835
2014-03-31,141603090199.0,6391240000.0,47933,172369,1634,1609
2014-04-30,128124967508.0,6012125000.0,41718,167177,1681,1660
2014-05-31,139302323900.0,6416194700.0,45234,175109,1816,1796
2014-06-30,125601274700.0,6150830010.0,41131,159277,1660,1646
2014-07-31,131320651000.0,5983625100.0,45237,156677,1864,1840
2014-08-31,89425626897.0,4500355279.0,31346,115574,1324,1309
2014-09-30,135746864145.0,6129076456.0,47323,153114,1707,1690
2014-10-31,153766917699.0,6823777936.0,53836,176055,1975,1949
2014-11-30,73128806500.0,3476819002.0,26978,87395,859,857
2014-12-31,85689112693.0,4545849600.0,30431,115518,1062,1053
